lead_id,store_name,lead_channel_label,google_maps_category,instagram_handle,followers,items_listed,sell_through_rate,website,email,phone,owner_name,address,city,neighbourhood,country,lat,lng,est_monthly_spend_gbp,lead_stage,last_contact_date,last_purchase_date,notes,lead_source
L1190,archivefinds16,,,@archivefinds16,63583,116,59%,,,,,,,,,,,2046,dormant,May 1 2026,September 28 2025,"Fast seller, good margins",Whatnot
L1177,deadera16,depop,,@deadera16,27594,771,11%,,,,,,,,,,,2136,1st touch sent,May 30 2026,,,Instagram
L1087,Mercer Archive,store,Second-hand shop,@mercerarchive,23024,,,mercerarchive.com,info@mercerarchive.com,+44 7714611254,Ben Novak,53 Cheshire St,Bristol,"Stokes Croft, Bristol",UK,51.46459,-2.59057,2126,responded,28/04/2026,,"Curated vintage womenswear, Levi's & band tees | ",Market visit
L1107,Revival Threads,,Used clothing store,@revivalthreads,21924,,,,info@revivalthreads.com,+33 603965223,,152 The Parade,Paris,"Le Marais, Paris",France,48.86635,2.36474,6348,1st touch sent,June 1 2026,,"Vintage workwear, military surplus, carhartt",Google Maps scrape
L1149,sourcedco83,reseller,,@sourcedco83,45531,687,29%,,,,,,,,,,,3272,responded,May 13 2026,,,Whatnot
L1188,grailsupply32,depop,,@grailsupply32,5782,1165,16%,,,,,,,,,,,3456,not contacted,,,"Fast seller, good margins",Whatnot
L1150,thriftedera99,reseller,,@thriftedera99,20227,1364,17%,,,,,,,,,,,307,emailed,2026/05/21,,Sells on Depop + Vinted,Depop scrape
L1028,Faded Apparel,store,Used clothing store,@fadedapparel,16512,,,fadedapparel.co.uk,info@fadedapparel.com,,Ben Byrne,172 Market St,London,"Camden, London",UK,51.54759,-0.14668,4143,closed - won,20 Jun,2026/06/02,80s/90s denim & sportswear specialist,Inbound
L1036,Patina Emporium,,Used clothing store,@patinaemporium,22561,,,,,+44 7516048175,Rosa Ferreira,68 Broadway,London,"Camden, London",UK,51.54674,-0.13203,1534,lapsed,31 Mar,July 27 2025,Retro football shirts & vintage sportswear | Keen but wants to see the app before committing.,Market visit
L1110,Revival Studio,shop,Antiques & collectibles,@revivalstudio,22960,,,revivalstudio.shop,,+33 609690295,,157 Union St,Berlin,"Kreuzberg, Berlin",Germany,52.50235,13.3935,1149,no fit,25/05/2026,,"Collectables, china, and bric-a-brac | Second shop opening soon, wants volume.",Instagram
L1153,deadco34,,,@deadco34,21535,64,29%,,,,,,,,,,,883,1st touch sent,2026/04/10,,Sells on Depop + Vinted,Depop scrape
L1016,Echo Garments,,Vintage & retro fashion,@echogarments,21989,,,,info@echogarments.com,+44 7951343320,,12 Union St,London,"Brick Lane, London",UK,51.53261,-0.06883,3427,in convo,June 21 2026,,"Vintage streetwear — Nike, Adidas, Ralph",Market visit
L1074,Retrograde Store,,Thrift store,@retrogradestore,5094,,,retrogradestore.com,info@retrogradestor.com,+44 7644089268,,127 High St,Brighton,"North Laine, Brighton",UK,50.83733,-0.1294,2043,new - inbound,,,"Y2K, grunge and reworked one-off pieces",Referral
L1066,Wilder Exchange,store,Retro clothing shop,@wilderexchange,11709,,,,info@wilderexchange.com,+44 7041574733,,138 Mill Lane,Brighton,"North Laine, Brighton",UK,50.83639,-0.13529,845,In conversation,25/03/2026,,"Vintage streetwear — Nike, Adidas, Ralph | Instagram DMs open, email bounced.",Instagram
L1156,thriftedgoods77,depop,,@thriftedgoods77,14566,734,18%,,,,,,,,,,,1364,emailed,2026/05/10,,"Whatnot seller, live sales",Vinted scrape
L1195,Analog Room,,Vintage & retro fashion,,,,,analogroom.shop,,+44 7345401938,Jack Okafor,45 Broadway,Brighton,"North Laine, Brighton",UK,50.83517,-0.14778,2281,Visit booked,28 May,,"Vintage workwear, military surplus, carhartt",Market visit
L1052,Echo Store,physical,Vintage & retro fashion,@echostore,2458,,,echostore.co.uk,info@echostore.com,+44 7980893246,James Dubois,91 Union St,London,"Dalston, London",UK,51.5477,-0.0825,3837,NEW,,,Hand-picked vintage from the 60s to the 90s,Referral
L1057,Static Vault,shop,Record store,@staticvault,4376,,,,info@staticvault.com,,,127 High St,London,"Notting Hill, London",UK,51.50566,-0.19427,1987,closed - lost,06/06/2026,,"Collectables, china, and bric-a-brac | Met at a market, said to drop by the shop.",BDR
L1115,Marlowe Goods,,Vintage & retro fashion,,,,,marlowegoods.com,,,Theo Rossi,153 Mill Lane,Amsterdam,Amsterdam,Netherlands,52.36327,4.90955,4658,new lead,,,Reworked vintage and archive designer pieces,Google Maps scrape
L1147,eraroom41,,,@eraroom41,11244,881,39%,,,,,,,,,,,1015,replied,03/06/2026,,,Whatnot
L1041,Sunday Collective,physical,Flea market,,,,,sundaycollective.com,info@sundaycollecti.com,+44 7615280988,Ben Ferreira,32 Broadway,London,"Peckham, London",UK,51.47049,-0.06503,1256,sent pricing,2026-06-23,,Fancy dress & theatrical costume hire,Instagram
L1003,Analog Emporium,physical,Retro clothing shop,@analogemporium,10736,,,analogemporium.com,info@analogemporium.com,,,146 The Parade,London,"Shoreditch, London",UK,51.5171,-0.07202,2933,negotiating,May 11 2026,,Hand-picked vintage from the 60s to the 90s,Instagram
L1162,grailfinds3,,,@grailfinds3,27350,1238,18%,,,,,,,,,,,2781,Closed Lost,2026/06/27,,"IG shop, DMs open",Instagram
L1118,Worn Rail,shop,Costume shop,,,,,wornrail.com,,+33 670534578,,102 Market St,Amsterdam,Amsterdam,Netherlands,52.37195,4.89791,905,replied,2026-06-06,,"Collectables, china, and bric-a-brac | Left a voicemail, no callback yet.",BDR
L1176,studioarchive99,,,@studioarchive99,27581,557,17%,,,,,,,,,,,614,New,,,Sells on Depop + Vinted,Depop scrape
L1132,thriftedera71,,,@thriftedera71,42581,653,37%,,,,,,,,,,,1219,New,,,,Vinted scrape
L1164,eragoods88,IG,,@eragoods88,12540,1189,41%,,eragoods88@gmail.com,,,,,,,,,1340,new - inbound,,,,Vinted scrape
L1160,theco92,depop,,@theco92,9601,709,35%,,,,,,,,,,,1990,trial pending,3 May,,"IG shop, DMs open",Whatnot
L1169,deadroom16,reseller,,@deadroom16,32356,1010,35%,,,,,,,,,,,1530,in convo,2026-05-10,,"Whatnot seller, live sales",Depop scrape
L1091,Wilder Supply,store,Thrift store,@wildersupply,14331,,,wildersupply.com,info@wildersupply.com,+44 7745171339,,177 The Parade,Bristol,"Stokes Croft, Bristol",UK,51.47367,-2.58735,1306,In conversation,18/06/2026,,"Curated vintage womenswear, Levi's & band tees | Instagram DMs open, email bounced.",BDR
L1108,Velvet Corner,shop,Thrift store,@velvetcorner,1643,,,velvetcorner.shop,,,,57 High St,Paris,"Le Marais, Paris",France,48.85963,2.34802,3721,replied,2026-06-20,,Reworked vintage and archive designer pieces,BDR
L1060,Bygone Racks,physical,Thrift store,@bygoneracks,10146,,,,info@bygoneracks.com,,,41 Kingsland Rd,London,"Soho, London",UK,51.51177,-0.13485,2389,responded,2026-05-04,,"80s/90s denim & sportswear specialist | Tried us in 2023, wasn't happy with the sizing mix.",Inbound
L1183,therail67,,,@therail67,34604,504,44%,,,,,,,,,,,1518,New,,,"Whatnot seller, live sales",Depop scrape
L1163,stockvault47,depop,,@stockvault47,9574,981,37%,,,,,,,,,,,497,emailed,2026-04-28,,,Vinted scrape
L1104,Heirloom Archive,physical,Vintage clothing store,@heirloomarchive,12056,,,heirloomarchive.shop,info@heirloomarchiv.com,,Grace Marsh,45 High St,Paris,"Le Marais, Paris",France,48.86985,2.36851,2767,won,2026/05/12,2026/05/19,Reworked vintage and archive designer pieces,Referral
L1127,Marlowe Vintage,,Consignment store,@marlowevintage,4018,,,marlowevintage.com,info@marlowevintage.com,+33 618114374,Yusuf Novak,13 Market St,Los Angeles,"Melrose, Los Angeles",USA,34.09132,-118.35202,3472,replied,2026/03/17,,Hand-picked vintage from the 60s to the 90s,Inbound
L1086,Golden Era Loft,,Consignment store,@goldeneraloft,13533,,,,info@goldeneraloft.com,+44 7868058911,Noor Diallo,169 The Parade,Bristol,"Stokes Croft, Bristol",UK,51.45699,-2.5873,2314,new lead,,,"Vintage workwear, military surplus, carhartt",Instagram
L1138,retrosupply58,,,@retrosupply58,20389,1151,60%,,,,,,,,,,,764,closed - won,2026/05/22,19/06/2026,"Whatnot seller, live sales",Whatnot
L1094,Wilder Goods,,Used clothing store,,,,,wildergoods.com,info@wildergoods.com,,Ellie Rossi,167 Mill Lane,Leeds,Leeds,UK,53.79152,-1.53881,1242,not contacted,,,80s/90s denim & sportswear specialist | ,Inbound
L1142,retroarchive14,,,@retroarchive14,26286,516,37%,,,,,,,,,,,806,responded,2026-05-26,,"Fast seller, good margins",Instagram
L1206,Velvet Corner,shop,Thrift store,@velvetcorner,1643,,,velvetcorner.shop,,,,57 High St,Paris,"Le Marais, Paris",France,48.85963,2.34802,3721,negotiating,2026/06/06,,Reworked vintage and archive designer pieces,BDR
L1199,Ragged Goods,store,Used clothing store,@raggedgoods,11003,,,raggedgoods.co.uk,info@raggedgoods.com,+44 7374549904,,168 The Parade,Brighton,"North Laine, Brighton",UK,50.83063,-0.15051,3932,Replied,29/06/2026,,"Vintage workwear, military surplus, carhartt | Busy on weekends — visit midweek.",BDR
L1012,Heirloom Depot,,Retro clothing shop,@heirloomdepot,21276,,,heirloomdepot.shop,info@heirloomdepot.com,+44 7680112805,Dan Baker,38 Broadway,London,"Shoreditch, London",UK,51.51506,-0.0766,4377,Closed Lost,29/05/2026,,"Y2K, grunge and reworked one-off pieces",Google Maps scrape
L1113,Heirloom Vault,physical,Consignment store,@heirloomvault,20067,,,heirloomvault.com,info@heirloomvault.com,+33 632417146,Ines Meyer,170 Mill Lane,Berlin,"Kreuzberg, Berlin",Germany,52.48919,13.40406,2637,in convo,01/05/2026,,"Y2K, grunge and reworked one-off pieces | Price-sensitive, compares to local wholesalers.",Inbound
L1179,reworkedera62,,,@reworkedera62,49020,312,59%,,,,,,,,,,,1697,NEW,,,"Whatnot seller, live sales",Instagram
L1004,Heirloom Store,shop,Vintage boutique,@heirloomstore,28616,,,heirloomstore.shop,info@heirloomstore.com,,Chloe Dubois,17 Broadway,London,"Shoreditch, London",UK,51.52116,-0.06009,8087,WON,17/06/2026,26 May,"Y2K, grunge and reworked one-off pieces",Referral
L1010,Second Racks,,Vintage clothing store,@secondracks,13369,,,,info@secondracks.com,,Ben Bennett,3 Kingsland Rd,London,"Shoreditch, London",UK,51.52691,-0.07049,5875,demo booked,June 15 2026,,"Hand-picked vintage from the 60s to the 90s | Met at a market, said to drop by the shop.",BDR
L1119,Restore Charity Shop,shop,Record store,,,,,,info@restorecharity.com,+33 646800722,,154 High St,Amsterdam,Amsterdam,Netherlands,52.36097,4.9067,1782,Closed Won,10/04/2026,2026-06-14,Fancy dress & theatrical costume hire,Instagram
L1090,Revival Supply,,Vintage boutique,@revivalsupply,4873,,,revivalsupply.shop,info@revivalsupply.com,+44 7767677219,James Diallo,75 High St,Bristol,"Stokes Croft, Bristol",UK,51.4596,-2.5891,2472,contacted,7 Jun,,"Retro football shirts & vintage sportswear | Left a voicemail, no callback yet.",Referral
L1013,Helping Hand Charity,physical,Furniture store,@helpinghandcharity,6201,,,helpinghandcharity.com,,,Jack Byrne,106 Union St,London,"Shoreditch, London",UK,51.5184,-0.0651,1720,emailed,11 Mar,,Fancy dress & theatrical costume hire | Owner mentioned they already buy from a Pakistan supplier.,Market visit
L1137,reworkedvault89,,,@reworkedvault89,40525,689,37%,,reworkedvault89@gmail.com,,,,,,,,,2088,replied,15/04/2026,,"IG shop, DMs open",Instagram
L1198,THE COSTUME TRUNK,,Flea market,@thecostumetrunk,12987,,,thecostumetrunk.co.uk,,+44 7325953278,Sam Meyer,79 Kingsland Rd,London,"Soho, London",UK,51.50236,-0.12331,1196,Churned,2026/05/09,,"Records, vinyl & memorabilia",BDR
L1058,Thread Rail,store,Consignment store,@threadrail,15144,,,,,,Sofia Baker,164 Church Rd,London,"Notting Hill, London",UK,51.51543,-0.2049,3845,dormant,2026/05/03,22 Sep,Hand-picked vintage from the 60s to the 90s,Google Maps scrape
L1131,depopco11,,,@depopco11,30099,677,12%,,,,,,,,,,,2877,emailed,2026-06-29,,"Fast seller, good margins",Instagram
L1015,Loop Wardrobe,,Vintage clothing store,@loopwardrobe,28187,,,loopwardrobe.co.uk,info@loopwardrobe.com,+44 7656482366,,174 Church Rd,London,"Brick Lane, London",UK,51.52377,-0.07628,7824,replied,June 16 2026,,Hand-picked vintage from the 60s to the 90s,Google Maps scrape
L1167,stockdrip47,,,@stockdrip47,64545,486,38%,,,,,,,,,,,200,Replied,18 May,,"Fast seller, good margins",Depop scrape
L1187,deadthreads62,IG,,@deadthreads62,45162,500,56%,,,,,,,,,,,498,New,,,,Depop scrape
L1024,Ragged Trading Co,,Retro clothing shop,@raggedtradingco,6466,,,raggedtradingco.co.uk,info@raggedtradingc.com,+44 7989413435,Leo Lopez,4 Cheshire St,London,"Brick Lane, London",UK,51.51204,-0.08241,3522,contacted,07/06/2026,,"Y2K, grunge and reworked one-off pieces | Busy on weekends — visit midweek.",Instagram
L1148,retropicks38,,,@retropicks38,54781,1359,5%,,,,,,,,,,,1308,new - inbound,,,Sells on Depop + Vinted,Whatnot
L1096,Flea & Co,physical,Antique store,@fleaandco,14896,,,,info@fleaandco.com,+44 7121965652,,64 Mill Lane,Leeds,Leeds,UK,53.80317,-1.55524,1080,visiting,13/03/2026,,Reclaimed furniture and home restoration,Instagram
L1095,Moth Vault,,Vintage boutique,@mothvault,19853,,,mothvault.com,info@mothvault.com,+44 7051627136,Tom Shah,27 The Parade,Leeds,Leeds,UK,53.79652,-1.55402,1265,negotiating,2026/06/03,,"80s/90s denim & sportswear specialist | Tried us in 2023, wasn't happy with the sizing mix.",Instagram
L1078,Wilder & Sons,physical,Retro clothing shop,@wilderandsons,21430,,,,info@wilderandsons.com,+44 7801006231,,39 High St,Manchester,"Northern Quarter, Manchester",UK,53.47725,-2.23706,2335,NEW,,,Retro football shirts & vintage sportswear | ,Instagram
L1136,eraarchive59,,,@eraarchive59,1084,1116,52%,,eraarchive59@gmail.com,,,,,,,,,1122,responded,2026/06/25,,"Fast seller, good margins",Instagram
L1129,Kestrel Goods,,Vintage & retro fashion,@kestrelgoods,16394,,,,,,,12 Market St,Los Angeles,"Melrose, Los Angeles",USA,34.07808,-118.36546,4499,Contacted,17 Jun,,Retro football shirts & vintage sportswear,Instagram
L1143,depoprail41,depop,,@depoprail41,14109,1300,60%,,depoprail41@gmail.com,,,,,,,,,1751,Churned,June 3 2026,2025/10/06,,Vinted scrape
L1128,Reclaimed Interiors,physical,Furniture store,@reclaimedinteriors,29185,,,reclaimedinteriors.co.uk,info@reclaimedinter.com,+33 652166746,Ellie Meyer,108 Church Rd,Los Angeles,"Melrose, Los Angeles",USA,34.07451,-118.35629,1684,new lead,,,"Antique furniture & mid-century homeware | Tried us in 2023, wasn't happy with the sizing mix.",Google Maps scrape
L1144,eraroom25,reseller,,@eraroom25,13053,385,52%,,,,,,,,,,,200,new lead,,,,Depop scrape
L1031,Bygone Exchange,,Vintage & retro fashion,@bygoneexchange,11293,,,bygoneexchange.co.uk,info@bygoneexchange.com,+44 7533963605,,122 Broadway,London,"Camden, London",UK,51.53627,-0.13867,3749,emailed,2026/04/22,,"Y2K, grunge and reworked one-off pieces",BDR
L1201,NOMAD ROOM,,Vintage clothing store,@nomadroom,5647,,,nomadroom.co.uk,info@nomadroom.com,+44 7362266093,,116 Broadway,Bristol,"Stokes Croft, Bristol",UK,51.46233,-2.58509,3732,Churned,May 4 2026,,80s/90s denim & sportswear specialist | ,Google Maps scrape
L1055,Thread Garments,,Charity shop,@threadgarments,1787,,,,info@threadgarments.com,+44 7640165820,Sofia Dubois,174 Kingsland Rd,London,"Notting Hill, London",UK,51.49784,-0.20639,1108,CONTACTED,March 30 2026,,Reclaimed furniture and home restoration,Inbound
L1011,Golden Era Trading Co,shop,Vintage clothing store,@goldeneratradingco,10210,,,goldeneratradingco.co.uk,info@goldeneratradi.com,,,30 Market St,London,"Shoreditch, London",UK,51.52982,-0.08027,2700,lost,2026-04-08,,"Vintage workwear, military surplus, carhartt | Keen but wants to see the app before committing.",Instagram
L1125,Marlowe Exchange,,Consignment store,@marloweexchange,4699,,,marloweexchange.shop,info@marloweexchang.com,,,44 Market St,New York,"Williamsburg, New York",USA,40.7118,-73.95639,1193,contacted,2026-06-04,,Reworked vintage and archive designer pieces | ,Inbound
L1029,Attic Apparel,store,Thrift store,@atticapparel,2176,,,,,,Mila Meyer,161 Kingsland Rd,London,"Camden, London",UK,51.54524,-0.14971,1618,1st touch sent,2026/06/07,,80s/90s denim & sportswear specialist,Inbound
L1049,Marlowe Rail,,Thrift store,@marlowerail,10092,,,,info@marlowerail.com,+44 7880592962,Leo Nowak,178 Church Rd,London,"Dalston, London",UK,51.55131,-0.08595,2428,contacted,2026-03-15,,Hand-picked vintage from the 60s to the 90s | ,BDR
L1050,Analog Closet,,Homeware store,@analogcloset,5710,,,analogcloset.com,,+44 7407581814,Tom Nowak,70 Kingsland Rd,London,"Dalston, London",UK,51.55573,-0.08346,1085,emailed,19/03/2026,,"Records, vinyl & memorabilia | Keen but wants to see the app before committing.",Market visit
L1083,Patina Store,,Retro clothing shop,@patinastore,14522,,,patinastore.shop,,+44 7886101581,,153 The Parade,Manchester,"Northern Quarter, Manchester",UK,53.49273,-2.2477,2389,New,,,"Reworked vintage and archive designer pieces | Heard of Fleek, thinks it's 'for small resellers'.",Instagram
L1178,deadpicks79,,,@deadpicks79,36982,1171,35%,,,,,,,,,,,2479,not contacted,,,"Whatnot seller, live sales",Whatnot
L1032,Second Store,,Vintage & retro fashion,,,,,secondstore.co.uk,info@secondstore.com,,Ben Dubois,178 Broadway,London,"Camden, London",UK,51.5426,-0.13416,1794,not interested,2026-06-12,,"Vintage streetwear — Nike, Adidas, Ralph",Referral
L1051,Bygone Room,physical,Flea market,@bygoneroom,4908,,,bygoneroom.co.uk,info@bygoneroom.com,,,121 Church Rd,London,"Dalston, London",UK,51.55221,-0.07574,654,new lead,,,Reclaimed furniture and home restoration,Google Maps scrape
L1103,Pinegrove Store,,Retro clothing shop,@pinegrovestore,24496,,,,info@pinegrovestore.com,+33 643132912,Priya Nowak,116 Kingsland Rd,Paris,"Le Marais, Paris",France,48.85454,2.3509,2579,visit booked,May 21 2026,,"Curated vintage womenswear, Levi's & band tees | Keen but wants to see the app before committing.",Market visit
L1072,Bygone Emporium,shop,Vintage boutique,,,,,bygoneemporium.shop,info@bygoneemporium.com,,Nadia Shah,46 Cheshire St,Brighton,"North Laine, Brighton",UK,50.82343,-0.14894,3278,1st touch sent,2026/03/12,,Hand-picked vintage from the 60s to the 90s,Google Maps scrape
L1126,Retrograde Racks,physical,Second-hand shop,@retrograderacks,23398,,,retrograderacks.co.uk,info@retrograderack.com,+33 661849926,Priya Ali,159 Market St,Los Angeles,"Melrose, Los Angeles",USA,34.07858,-118.35417,7414,Visit booked,12/06/2026,,"Curated vintage womenswear, Levi's & band tees | Instagram DMs open, email bounced.",BDR
L1173,thedrip50,,,@thedrip50,45650,889,57%,,,,,,,,,,,1638,New,,,"Fast seller, good margins",Depop scrape
L1184,archivefinds36,,,@archivefinds36,39209,440,38%,,,,,,,,,,,1613,won,2026-06-30,2026/06/27,"IG shop, DMs open",Whatnot
L1071,Worn Exchange,,Vintage & retro fashion,@wornexchange,18878,,,wornexchange.shop,,+44 7406403910,Chloe Haddad,180 Market St,Brighton,"North Laine, Brighton",UK,50.82699,-0.15055,3357,Replied,2026/06/24,,Retro football shirts & vintage sportswear,Market visit
L1121,Dusty Depot,physical,Vintage boutique,@dustydepot,14115,,,,info@dustydepot.com,+33 699353875,,130 Mill Lane,New York,"Williamsburg, New York",USA,40.72329,-73.95182,5106,meeting set,11 May,,80s/90s denim & sportswear specialist,BDR
L1030,Faded Loft,shop,Vintage & retro fashion,,,,,,info@fadedloft.com,+44 7748467737,Freya Rossi,99 Union St,London,"Camden, London",UK,51.54912,-0.1424,3558,sent pricing,2026-05-03,,"Vintage workwear, military surplus, carhartt",Google Maps scrape
L1077,Velvet Closet,shop,Used clothing store,@velvetcloset,28714,,,velvetcloset.shop,,+44 7204899642,Hannah Byrne,59 Broadway,Manchester,"Northern Quarter, Manchester",UK,53.48567,-2.2421,804,not contacted,,,"Vintage streetwear — Nike, Adidas, Ralph",Instagram
L1038,Moth Supply,physical,Used clothing store,@mothsupply,21354,,,mothsupply.co.uk,,,,63 Church Rd,London,"Peckham, London",UK,51.48089,-0.07608,1273,contacted,2026-04-16,,80s/90s denim & sportswear specialist,Referral
L1056,Dusty Vault,,Retro clothing shop,@dustyvault,4117,,,dustyvault.shop,info@dustyvault.com,+44 7681447394,Ellie Meyer,52 Market St,London,"Notting Hill, London",UK,51.50026,-0.20622,3762,Contacted,28/06/2026,,"Vintage streetwear — Nike, Adidas, Ralph | ",Market visit
L1099,Nomad Vault,physical,Thrift store,@nomadvault,12585,,,,info@nomadvault.com,+44 7056481491,,128 Kingsland Rd,Glasgow,Glasgow,UK,55.86446,-4.26247,3456,negotiating,June 15 2026,,Reworked vintage and archive designer pieces,BDR
L1111,Velvet Exchange,physical,Vintage boutique,@velvetexchange,3940,,,velvetexchange.co.uk,info@velvetexchange.com,+33 676267658,Oscar Shah,123 Union St,Berlin,"Kreuzberg, Berlin",Germany,52.4909,13.39277,3572,sent pricing,2026-03-31,,"Curated vintage womenswear, Levi's & band tees",Inbound
L1123,Dusty Store,physical,Vintage boutique,@dustystore,6194,,,dustystore.co.uk,info@dustystore.com,,Yusuf Klein,44 Church Rd,New York,"Williamsburg, New York",USA,40.71475,-73.95367,1393,not interested,2026-05-22,,"Vintage streetwear — Nike, Adidas, Ralph | Instagram DMs open, email bounced.",Market visit
L1062,Velvet Room,store,Vintage clothing store,@velvetroom,12385,,,velvetroom.com,info@velvetroom.com,+44 7609835841,Oscar Ali,116 Cheshire St,London,"Soho, London",UK,51.50851,-0.12226,879,in convo,26 Mar,,"Y2K, grunge and reworked one-off pieces",Google Maps scrape
L1097,Faded Vault,,Consignment store,@fadedvault,21308,,,fadedvault.com,,+44 7552696582,Noor Meyer,19 High St,Glasgow,Glasgow,UK,55.8663,-4.26347,656,won,2026-04-16,2026-05-22,"Vintage workwear, military surplus, carhartt | Owner mentioned they already buy from a Pakistan supplier.",Market visit
L1063,Rewind Society,,Used clothing store,@rewindsociety,15923,,,rewindsociety.co.uk,info@rewindsociety.com,+44 7298259526,Mila Lopez,152 The Parade,London,"Soho, London",UK,51.51398,-0.13377,1388,new - inbound,,,"Vintage streetwear — Nike, Adidas, Ralph | Instagram DMs open, email bounced.",Inbound
L1133,stockrail59,IG,,@stockrail59,56133,960,26%,,,,,,,,,,,236,lapsed,May 2 2026,2025-11-10,Sells on Depop + Vinted,Vinted scrape
L1145,depopthreads55,,,@depopthreads55,56244,552,5%,,depopthreads55@gmail.com,,,,,,,,,713,NEW,,,"Whatnot seller, live sales",Depop scrape
L1196,WORN TRADING CO,store,Used clothing store,@worntradingco,18683,,,worntradingco.co.uk,info@worntradingco.com,+44 7925192546,,34 Market St,London,"Dalston, London",UK,51.54143,-0.07796,4189,emailed,2026-06-02,,"Y2K, grunge and reworked one-off pieces",BDR
L1181,archivedrip82,,,@archivedrip82,61477,1259,32%,,,,,,,,,,,1998,New,,,"IG shop, DMs open",Depop scrape
L1037,Static Racks,shop,Vintage boutique,@staticracks,8093,,,,info@staticracks.com,+44 7675869261,Ines Dubois,105 Mill Lane,London,"Peckham, London",UK,51.46279,-0.07211,1420,trial pending,2026/03/10,,"Curated vintage womenswear, Levi's & band tees | Keen but wants to see the app before committing.",Inbound
L1045,Faded Denim,physical,Vintage clothing store,,,,,fadeddenim.co.uk,info@fadeddenim.com,+44 7136968164,,87 Union St,London,"Dalston, London",UK,51.54199,-0.08296,902,trial pending,May 4 2026,,"Vintage streetwear — Nike, Adidas, Ralph",Google Maps scrape
L1018,Analog Loft,shop,Used clothing store,,,,,analogloft.com,info@analogloft.com,+44 7623166587,Chloe Okafor,53 Broadway,London,"Brick Lane, London",UK,51.51835,-0.06502,4029,meeting set,21/06/2026,,Retro football shirts & vintage sportswear,Google Maps scrape
L1109,Vinyl Revival Records,physical,Record store,,,,,vinylrevivalrecord.co.uk,,,,78 The Parade,Berlin,"Kreuzberg, Berlin",Germany,52.49027,13.39478,1829,Closed Lost,2026/05/12,,Antique furniture & mid-century homeware,Instagram
